"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтрации продуктов","1069","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 11:12:33 UTC 2025","passed","Fri Sep 05 11:12:35 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка фильтрации продуктов","875","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 11:12:35 UTC 2025","passed","Fri Sep 05 11:12:36 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест возвращения на страницу товаров","918","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Fri Sep 05 11:12:46 UTC 2025","passed","Fri Sep 05 11:12:47 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"Проверка входа пользователя с именем пользователя","694","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Fri Sep 05 11:12:37 UTC 2025","passed","Fri Sep 05 11:12:38 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка входа пользователя с тестовыми данными","814","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Fri Sep 05 11:12:39 UTC 2025","passed","Fri Sep 05 11:12:39 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"Проверка фильтрации продуктов","891","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 11:12:32 UTC 2025","passed","Fri Sep 05 11:12:33 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"","641","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 05 11:12:42 UTC 2025","passed","Fri Sep 05 11:12:42 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Тест проверки страницы корзины","1187","Прверка открытия страницы корзины","Smoke Test SauceDemo","Fri Sep 05 11:12:44 UTC 2025","passed","Fri Sep 05 11:12:45 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"Тест кнопки удаления","10914","Проверка удаления выбранного товара","Smoke Test SauceDemo","Fri Sep 05 11:12:47 UTC 2025","passed","Fri Sep 05 11:12:58 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"Тест перехода на страницу оплаты","2302","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Fri Sep 05 11:12:38 UTC 2025","passed","Fri Sep 05 11:12:40 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"Провекрка входа на страницу товаров","1785","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Fri Sep 05 11:12:29 UTC 2025","passed","Fri Sep 05 11:12:30 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"","581","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 05 11:12:41 UTC 2025","passed","Fri Sep 05 11:12:41 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Позитивный тест оплаты","2149","Проверка оплаты пользователем","Smoke Test SauceDemo","Fri Sep 05 11:12:44 UTC 2025","passed","Fri Sep 05 11:12:46 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
"Проверка фильтрации продуктов","822","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 11:12:31 UTC 2025","passed","Fri Sep 05 11:12:32 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа в аккаунт с валидными данными","647","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Fri Sep 05 11:12:40 UTC 2025","passed","Fri Sep 05 11:12:40 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"Проверка входа пользователя с пустым паролем","637","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Fri Sep 05 11:12:36 UTC 2025","passed","Fri Sep 05 11:12:37 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","743","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 05 11:12:43 UTC 2025","passed","Fri Sep 05 11:12:44 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"","1767","Прверка локаторов","Smoke Test SauceDemo","Fri Sep 05 11:12:33 UTC 2025","passed","Fri Sep 05 11:12:35 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
