"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтрации продуктов","723","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 18:24:08 UTC 2025","passed","Thu Sep 04 18:24:09 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа пользователя с именем пользователя","544","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Thu Sep 04 18:24:11 UTC 2025","passed","Thu Sep 04 18:24:11 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка фильтрации продуктов","745","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 18:24:05 UTC 2025","passed","Thu Sep 04 18:24:06 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест перехода на страницу оплаты","829","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Thu Sep 04 18:24:33 UTC 2025","broken","Thu Sep 04 18:24:33 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"","618","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 18:24:15 UTC 2025","passed","Thu Sep 04 18:24:16 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка фильтрации продуктов","782","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 18:24:07 UTC 2025","passed","Thu Sep 04 18:24:08 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"","570","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 18:24:13 UTC 2025","passed","Thu Sep 04 18:24:14 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Тест возвращения на страницу товаров","829","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 18:24:25 UTC 2025","broken","Thu Sep 04 18:24:26 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"Проверка входа пользователя с тестовыми данными","576","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Thu Sep 04 18:24:12 UTC 2025","passed","Thu Sep 04 18:24:12 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"Позитивный тест оплаты","662","Проверка оплаты пользователем","Smoke Test SauceDemo","Thu Sep 04 18:24:46 UTC 2025","broken","Thu Sep 04 18:24:47 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
"Проверка входа в аккаунт с валидными данными","617","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Thu Sep 04 18:24:12 UTC 2025","passed","Thu Sep 04 18:24:13 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"Тест кнопки удаления","710","Проверка удаления выбранного товара","Smoke Test SauceDemo","Thu Sep 04 18:24:30 UTC 2025","broken","Thu Sep 04 18:24:30 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"Тест проверки страницы корзины","883","Прверка открытия страницы корзины","Smoke Test SauceDemo","Thu Sep 04 18:24:20 UTC 2025","broken","Thu Sep 04 18:24:21 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"","2116","Прверка локаторов","Smoke Test SauceDemo","Thu Sep 04 18:24:14 UTC 2025","passed","Thu Sep 04 18:24:16 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"Проверка фильтрации продуктов","830","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 18:24:06 UTC 2025","passed","Thu Sep 04 18:24:07 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа пользователя с пустым паролем","537","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Thu Sep 04 18:24:10 UTC 2025","passed","Thu Sep 04 18:24:10 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Провекрка входа на страницу товаров","2704","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 18:24:02 UTC 2025","passed","Thu Sep 04 18:24:05 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"","555","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 18:24:14 UTC 2025","passed","Thu Sep 04 18:24:15 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
