"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","552","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 19:13:45 UTC 2025","passed","Thu Sep 04 19:13:45 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка входа пользователя с тестовыми данными","570","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Thu Sep 04 19:13:40 UTC 2025","passed","Thu Sep 04 19:13:41 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"Тест перехода на страницу оплаты","1215","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Thu Sep 04 19:13:56 UTC 2025","broken","Thu Sep 04 19:13:57 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"Тест возвращения на страницу товаров","638","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 19:13:54 UTC 2025","broken","Thu Sep 04 19:13:55 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"Тест проверки страницы корзины","613","Прверка открытия страницы корзины","Smoke Test SauceDemo","Thu Sep 04 19:13:50 UTC 2025","broken","Thu Sep 04 19:13:50 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"Проверка фильтрации продуктов","776","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 19:13:33 UTC 2025","passed","Thu Sep 04 19:13:34 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа в аккаунт с валидными данными","758","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Thu Sep 04 19:13:41 UTC 2025","passed","Thu Sep 04 19:13:42 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","1806","Прверка локаторов","Smoke Test SauceDemo","Thu Sep 04 19:13:38 UTC 2025","passed","Thu Sep 04 19:13:40 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"Проверка фильтрации продуктов","889","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 19:13:37 UTC 2025","passed","Thu Sep 04 19:13:38 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка фильтрации продуктов","827","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 19:13:36 UTC 2025","passed","Thu Sep 04 19:13:37 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка фильтрации продуктов","797","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 19:13:35 UTC 2025","passed","Thu Sep 04 19:13:35 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Провекрка входа на страницу товаров","2307","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 19:13:31 UTC 2025","passed","Thu Sep 04 19:13:33 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"Тест кнопки удаления","658","Проверка удаления выбранного товара","Smoke Test SauceDemo","Thu Sep 04 19:13:59 UTC 2025","broken","Thu Sep 04 19:14:00 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"","750","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 19:13:43 UTC 2025","passed","Thu Sep 04 19:13:43 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка входа пользователя с именем пользователя","535","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Thu Sep 04 19:13:39 UTC 2025","passed","Thu Sep 04 19:13:40 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка входа пользователя с пустым паролем","661","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Thu Sep 04 19:13:38 UTC 2025","passed","Thu Sep 04 19:13:39 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","629","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 19:13:44 UTC 2025","passed","Thu Sep 04 19:13:44 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Позитивный тест оплаты","859","Проверка оплаты пользователем","Smoke Test SauceDemo","Thu Sep 04 19:14:10 UTC 2025","broken","Thu Sep 04 19:14:11 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
