"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа пользователя с пустым паролем","637","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Thu Sep 04 17:53:15 UTC 2025","passed","Thu Sep 04 17:53:15 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Тест перехода на страницу оплаты","1240","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Thu Sep 04 17:53:34 UTC 2025","broken","Thu Sep 04 17:53:35 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"Проверка фильтрации продуктов","756","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 17:53:12 UTC 2025","passed","Thu Sep 04 17:53:13 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа пользователя с тестовыми данными","542","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Thu Sep 04 17:53:17 UTC 2025","passed","Thu Sep 04 17:53:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"","692","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 17:53:20 UTC 2025","passed","Thu Sep 04 17:53:21 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка фильтрации продуктов","717","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 17:53:10 UTC 2025","passed","Thu Sep 04 17:53:11 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест проверки страницы корзины","663","Прверка открытия страницы корзины","Smoke Test SauceDemo","Thu Sep 04 17:53:26 UTC 2025","broken","Thu Sep 04 17:53:26 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"Провекрка входа на страницу товаров","2128","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 17:53:07 UTC 2025","passed","Thu Sep 04 17:53:10 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"Проверка фильтрации продуктов","880","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 17:53:13 UTC 2025","passed","Thu Sep 04 17:53:14 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест возвращения на страницу товаров","694","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 17:53:31 UTC 2025","broken","Thu Sep 04 17:53:31 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"","583","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 17:53:19 UTC 2025","passed","Thu Sep 04 17:53:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Позитивный тест оплаты","806","Проверка оплаты пользователем","Smoke Test SauceDemo","Thu Sep 04 17:53:47 UTC 2025","broken","Thu Sep 04 17:53:48 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
"","2003","Прверка локаторов","Smoke Test SauceDemo","Thu Sep 04 17:53:15 UTC 2025","passed","Thu Sep 04 17:53:17 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"Проверка фильтрации продуктов","781","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 17:53:11 UTC 2025","passed","Thu Sep 04 17:53:12 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест кнопки удаления","635","Проверка удаления выбранного товара","Smoke Test SauceDemo","Thu Sep 04 17:53:35 UTC 2025","broken","Thu Sep 04 17:53:36 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"","691","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 17:53:21 UTC 2025","passed","Thu Sep 04 17:53:22 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка входа в аккаунт с валидными данными","591","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Thu Sep 04 17:53:18 UTC 2025","passed","Thu Sep 04 17:53:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"Проверка входа пользователя с именем пользователя","691","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Thu Sep 04 17:53:16 UTC 2025","passed","Thu Sep 04 17:53:16 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
