"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтрации продуктов","943","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 10:15:00 UTC 2025","passed","Fri Sep 05 10:15:01 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"","2036","Прверка локаторов","Smoke Test SauceDemo","Fri Sep 05 10:14:58 UTC 2025","passed","Fri Sep 05 10:15:00 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"Тест перехода на страницу оплаты","1167","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Fri Sep 05 10:15:15 UTC 2025","broken","Fri Sep 05 10:15:17 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"Тест возвращения на страницу товаров","833","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Fri Sep 05 10:15:21 UTC 2025","broken","Fri Sep 05 10:15:22 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"Позитивный тест оплаты","936","Проверка оплаты пользователем","Smoke Test SauceDemo","Fri Sep 05 10:15:31 UTC 2025","broken","Fri Sep 05 10:15:32 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
"Проверка входа пользователя с пустым паролем","857","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Fri Sep 05 10:15:03 UTC 2025","passed","Fri Sep 05 10:15:04 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка фильтрации продуктов","1046","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 10:15:01 UTC 2025","passed","Fri Sep 05 10:15:02 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"","780","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 05 10:15:09 UTC 2025","passed","Fri Sep 05 10:15:10 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Провекрка входа на страницу товаров","2432","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Fri Sep 05 10:14:54 UTC 2025","passed","Fri Sep 05 10:14:56 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"","787","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 05 10:15:08 UTC 2025","passed","Fri Sep 05 10:15:09 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка входа пользователя с именем пользователя","703","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Fri Sep 05 10:15:04 UTC 2025","passed","Fri Sep 05 10:15:05 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","887","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 05 10:15:10 UTC 2025","passed","Fri Sep 05 10:15:11 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Тест кнопки удаления","753","Проверка удаления выбранного товара","Smoke Test SauceDemo","Fri Sep 05 10:15:26 UTC 2025","broken","Fri Sep 05 10:15:27 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"Проверка входа пользователя с тестовыми данными","716","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Fri Sep 05 10:15:05 UTC 2025","passed","Fri Sep 05 10:15:06 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"Проверка фильтрации продуктов","1004","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 10:14:57 UTC 2025","passed","Fri Sep 05 10:14:58 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка фильтрации продуктов","1107","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 05 10:14:58 UTC 2025","passed","Fri Sep 05 10:14:59 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест проверки страницы корзины","956","Прверка открытия страницы корзины","Smoke Test SauceDemo","Fri Sep 05 10:15:16 UTC 2025","broken","Fri Sep 05 10:15:17 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"Проверка входа в аккаунт с валидными данными","967","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Fri Sep 05 10:15:06 UTC 2025","passed","Fri Sep 05 10:15:07 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
