"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","493","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 12 10:15:20 UTC 2025","passed","Fri Sep 12 10:15:21 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка входа пользователя с тестовыми данными","596","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Fri Sep 12 10:15:18 UTC 2025","passed","Fri Sep 12 10:15:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"Провекрка входа на страницу товаров","2913","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Fri Sep 12 10:15:07 UTC 2025","passed","Fri Sep 12 10:15:10 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"Проверка фильтрации продуктов","1069","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 12 10:15:12 UTC 2025","passed","Fri Sep 12 10:15:13 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа пользователя с пустым паролем","672","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Fri Sep 12 10:15:16 UTC 2025","passed","Fri Sep 12 10:15:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1943","Прверка локаторов","Smoke Test SauceDemo","Fri Sep 12 10:15:06 UTC 2025","passed","Fri Sep 12 10:15:08 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"Проверка фильтрации продуктов","807","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 12 10:15:15 UTC 2025","passed","Fri Sep 12 10:15:15 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест кнопки удаления","10885","Проверка удаления выбранного товара","Smoke Test SauceDemo","Fri Sep 12 10:15:25 UTC 2025","passed","Fri Sep 12 10:15:36 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"Проверка фильтрации продуктов","979","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 12 10:15:10 UTC 2025","passed","Fri Sep 12 10:15:11 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа в аккаунт с валидными данными","631","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Fri Sep 12 10:15:19 UTC 2025","passed","Fri Sep 12 10:15:20 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"Проверка фильтрации продуктов","853","Проверка фильтрации продуктов","Smoke Test SauceDemo","Fri Sep 12 10:15:13 UTC 2025","passed","Fri Sep 12 10:15:14 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Тест проверки страницы корзины","900","Прверка открытия страницы корзины","Smoke Test SauceDemo","Fri Sep 12 10:15:23 UTC 2025","passed","Fri Sep 12 10:15:24 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"Тест перехода на страницу оплаты","2471","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Fri Sep 12 10:15:11 UTC 2025","passed","Fri Sep 12 10:15:14 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"Позитивный тест оплаты","2322","Проверка оплаты пользователем","Smoke Test SauceDemo","Fri Sep 12 10:15:17 UTC 2025","passed","Fri Sep 12 10:15:19 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
"","496","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 12 10:15:21 UTC 2025","passed","Fri Sep 12 10:15:22 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Тест возвращения на страницу товаров","788","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Fri Sep 12 10:15:24 UTC 2025","passed","Fri Sep 12 10:15:25 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"","499","paramNegativeTest","Smoke Test SauceDemo","Fri Sep 12 10:15:22 UTC 2025","passed","Fri Sep 12 10:15:23 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка входа пользователя с именем пользователя","746","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Fri Sep 12 10:15:17 UTC 2025","passed","Fri Sep 12 10:15:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
